NR;PLOEG;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;20;30;40;30;20;30;30;20;30;30;30;20;330
1;Scary Monsters;18;28;40;29;18;28;28;16;28;28;30;20;311
2;Rock Monsieur;17;28;36;27;19;22;24;11;22;28;25;20;279
3;Paris Hilton Lookalikes;14;30;34;29;15;22;26;17;22;28;28;20;285
4;Comfortably Dumb;14;27;25;25;10;15;20;12;20;21;17;19;225
5;Busty Springfield;11;28;29;29;15;23;25;14;20;27;27;19;267
6;Los Locos;14;27;28;29;14;24;24;13;21;28;30;19;271
7;Flying Foxes;13;28;23;24;12;16;18;6;19;26;22;14;221
8;City Trash;14;27;21;27;16;21;23;12;22;28;19;19;249
9;De Giraf;13;24;24;21;13;16;24;13;19;21;26;17;231
10;Bruce Horny & The Rest;19;28;36;30;20;24;27;18;26;30;30;20;308
11;Green Onions;15;26;34;23;16;21;19;8;15;25;24;19;245
12;Martha Wainwrong Ain't Right ;17;28;37;29;18;25;26;14;25;27;29;20;295
13;Koevoet Is Beter Dan Boullie;12;27;30;24;11;18;26;14;21;27;29;20;259
14;WMYA;15;27;17;27;16;19;26;14;17;27;20;18;243
15;Testedoene;15;28;32;25;17;21;24;16;21;28;27;20;274
16;Goedkoop Zat In 't Halve Maantje;17;26;28;27;15;19;20;16;22;29;23;19;261
17;The 4 sLEEpless Horsemen Of The Apocalypse;16;28;31;29;18;23;24;12;22;27;21;20;271
18;Starbuk & Apollo;16;28;36;28;17;27;25;16;25;28;28;20;294
19;Car Comfort Solutions;5;27;18;18;10;11;22;10;18;16;4;16;175
20;De Plankierkaarters;14;29;20;23;16;21;22;9;16;27;18;20;235
21;Zazawie;13;24;28;25;11;17;21;13;18;25;23;19;237
22;Vlassenbroek 2000;18;28;37;29;20;27;26;15;25;29;29;20;303
23;No ID;12;26;26;29;20;22;23;12;20;28;17;20;255
24;De Stijlpaardroggen;10;23;16;21;10;12;17;6;17;22;19;17;190
25;The Return of The Dolly Dots;12;24;20;24;11;17;22;9;18;19;18;15;209
26;Rode BMW staat fout geparkeerd;13;25;20;20;9;10;20;5;19;24;9;15;189
27;Silly Wommers;17;28;37;27;16;19;22;14;25;25;22;20;272
28;De Popingers ;13;27;30;22;16;20;19;10;23;18;16;20;234
29;Lou Reed in Velo;17;26;29;25;17;18;22;14;19;26;27;17;257
30;My Dying Pride;17;28;29;27;17;24;24;13;19;27;21;19;265
31;Cevisten;16;27;33;24;14;17;25;9;21;27;23;18;254
32;De vierkante meter;7;25;17;18;7;12;11;11;12;22;20;15;177
33;Drink Floyd;12;25;23;26;12;19;22;12;15;29;18;17;230
34;De Stimpy's;15;27;33;30;17;27;27;18;23;29;29;20;295
35;De Prinsen Der Duisternis;9;27;23;28;13;18;23;13;18;25;19;18;234
36;Tequila Overdrive;16;26;37;26;17;24;28;16;25;25;29;20;289
37;De buis van Eustachius;17;17;34;28;10;23;21;8;20;29;26;20;253
38;Franca Xapa;18;28;35;28;11;26;30;20;27;27;29;20;299
39;Zootje Ongeregeld;16;28;31;28;14;22;25;11;25;26;27;20;273
40;A Tribe Called Wuk Est?;17;28;34;28;14;24;24;13;26;27;29;20;284
41;Pietboef Mipus Mipus;7;13;11;22;12;7;14;4;9;25;11;13;148
42;Dead Daisy Smiles ft. Baldwin;11;24;24;23;10;15;18;12;20;26;23;17;223
43;Klein Zottegem;14;21;20;26;14;15;14;8;16;27;27;15;217
44;De Hertenkoppen;0;0;0;0;0;0;0;0;0;0;0;0;0
45;Floyd;12;19;16;22;17;10;16;11;16;24;15;10;188
46;Nuns & Mozes;13;26;17;23;13;11;23;8;21;23;15;17;210
47;Dawetekiknie;3;18;16;19;13;10;22;12;17;20;10;16;176
48;Freddie Vedder;9;21;14;23;8;11;19;10;14;23;8;14;174
49;De Vleesgeworden Genialiteit en Aanverwante;16;28;28;26;12;18;22;13;22;23;20;19;247
50;Barbara Spreidstand;13;20;20;26;12;12;22;5;17;26;26;16;215
51;Voor Spek En Zonen;8;21;16;15;9;10;13;2;12;17;5;17;145
52;De Gierende Bandjes;3;22;10;16;7;7;18;7;13;11;4;15;133
53;The Bet;8;26;20;22;14;17;22;12;16;24;16;15;212
54;De Holvoetjes;9;23;19;24;10;19;19;9;16;20;13;15;196
55;Die Schmetterlinge;15;21;15;25;13;10;17;10;19;22;8;14;189
