NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;TOT.
;MAXIMUM;;30;30;30;30;30;30;30;30;40;30;30;340
1;Greatest Tits;1;27;28;30;30;27;30;30;29;40;28;28;327
2;De vierkante meter;;19;23;20;20;17;16;23;9;16;25;17;205
3;Los Locos;1;26;27;27;26;26;30;29;27;37;30;29;314
4;The 4 sLEEpless horsemen of the apocalypse;1;29;27;30;28;27;30;30;29;40;30;27;327
5;Paris Hilton Lookalikes;1;27;28;29;30;27;30;29;30;40;29;28;327
6;Directieteam;;24;25;27;28;27;30;30;20;35;28;27;301
7;1 man en 3 baardenkoppen;;24;25;23;21;19;30;28;23;28;26;24;271
8;De buis van Eustachius;1;25;26;30;28;27;30;30;29;40;29;28;322
9;Mississippi Queen;;24;24;22;20;24;30;25;21;37;27;25;279
10;De tamme impala's;;21;25;25;26;24;28;26;24;33;29;22;283
11;DJ Reynders en dergelijke meer;;14;24;21;20;21;21;28;16;28;18;23;234
12;Asibille O;;15;23;22;18;21;24;23;16;29;24;22;237
13;Schnippel Schnappel;;7;24;16;15;25;24;24;12;31;20;16;214
14;Formerly known as RJFC;;22;23;20;25;22;25;27;25;35;27;25;276
15;A.M. Club;;18;21;16;11;20;22;25;16;30;17;19;215
16;Zazawie;;19;24;27;25;20;29;28;21;23;27;21;264
17;Pol van mietses giete;;18;22;24;25;23;26;29;19;33;17;24;260
18;Die Schmetterlinge;;19;23;15;14;17;28;28;17;31;21;20;233
19;Green Onions ;1;20;24;21;23;23;27;29;19;30;22;27;265
20;Zottegem Blues;;18;24;24;19;22;28;25;17;32;16;26;251
21;Lou reed in vélo ;1;26;26;28;27;23;30;29;20;36;26;28;299
22;Fraeter ;;12;26;17;26;19;24;28;21;26;21;20;240
23;KIPZ;1;23;25;25;23;26;26;29;24;37;17;25;280
24;Scary Monsters ;1;28;28;30;28;25;30;30;30;37;30;28;324
25;Popingers ;1;21;25;28;25;27;26;27;27;37;25;27;295
26;Rock Monsieur;1;25;27;28;25;24;30;29;26;39;30;26;309
27;The Buddy's;1;22;27;27;26;25;26;27;22;38;22;27;289
28;METEA ;;23;23;19;23;21;25;29;23;36;30;21;273
29;Hond An De Loeze ;;17;21;18;22;20;25;29;18;31;25;22;248
30;Flying Foxes ;;18;24;21;24;22;22;30;18;37;22;26;264
31;Testedoene ;1;23;25;28;27;23;28;30;25;33;29;25;296
32;Judas Piest ;;17;20;18;20;17;22;29;23;32;20;22;240
33;The Red Team ;;14;25;21;12;24;27;24;15;22;25;20;229
34;No use for a name ;;12;23;18;8;17;22;22;13;27;14;20;196
35;Team Dink ;;15;21;18;23;24;25;25;20;24;21;20;236
36;De Stijlpaardroggen;;10;20;16;17;20;25;21;12;18;22;20;201
37;Barbara Spreidstand ;;14;18;18;14;19;20;26;17;30;21;18;215
38;Cool for cats;;17;22;24;22;24;28;27;20;27;26;23;260
39;Jan, Piet, Joris en Sam Gooris ;1;27;28;28;30;27;30;30;27;39;29;27;322
40;Camping Kubelia ;;23;23;24;29;23;20;24;18;35;23;20;262
41;De bevroren aperitiefhapjes;;13;22;17;19;20;25;26;19;25;25;20;231
42;Op zeep van hoge ;;8;24;22;23;20;27;25;19;24;27;24;243
43;City Trash ;;22;25;26;19;22;30;20;22;23;30;26;265
44;Vive Laweit ;;13;23;17;22;16;25;23;16;25;13;15;208
45;Cevisten ;;21;22;20;28;24;27;26;22;28;28;27;273
46;Volvo ;;8;14;15;13;17;12;14;10;13;11;16;143
47;De kombucha zuipers;;2;20;14;9;15;15;20;14;28;12;18;167
48;Aquaholics ;;22;26;23;24;25;28;27;18;34;27;25;279
49;Niets meer aan te doen ;;27;28;27;26;25;30;30;29;37;29;28;316
50;It's a Karen;;6;22;10;17;18;17;23;12;28;18;15;186
51;No ID ;1;28;26;27;25;25;27;25;24;38;20;24;289
52;Quiztnix ;;0;0;0;0;0;0;0;0;0;0;0;0
53;De beDweters ;;18;23;18;21;20;25;28;13;22;27;23;238
54;Avond zonder vrouwen ;;7;17;10;9;18;19;14;11;30;10;14;159
55;Rock Anzegem ;;7;20;16;17;18;19;19;12;19;14;17;178
56;Pearls For Pigs ;;6;21;19;23;19;23;29;16;18;26;17;217
57;Geertje is on sambatical leave ;;17;20;16;20;18;22;23;17;22;24;19;218
58;Quizzers in crime ;;18;21;22;20;21;28;29;21;30;28;23;261
59;Michiels Crew ;;16;22;22;25;21;26;28;23;32;19;21;255
60;4 pintjes en een bordje gemengd ;;18;21;21;26;21;25;27;21;27;28;20;255
61;Bloody Well Right;;11;19;16;16;18;19;18;12;25;14;18;186
62;Prefab 4 ;;22;25;25;27;26;25;28;25;35;26;28;292
63;A Line Of Shots;;23;23;27;28;23;30;28;27;37;30;26;302
64;Oude Zakken;;10;21;15;15;17;19;17;14;16;13;18;175
65;De Laatkomers;;5;18;12;17;19;18;17;10;13;13;12;154
