NR;PLOEG;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;30;30;30;30;30;20;30;30;20;30;30;20;330
1;Nine Inch Tails;30;24;22;25;22;;;;;;;;123
2;De Giraf;26;23;15;26;19;;;;;;;;109
3;Paris Hilton Lookalikes;30;28;29;29;29;;;;;;;;145
4;Queers On A Stoned Rage;20;17;19;26;28;;;;;;;;110
5;Alcoholica;24;10;14;21;24;;;;;;;;93
6;De Zakkenrollers;18;18;9;26;23;;;;;;;;94
7;Oude Zakken;22;14;15;18;19;;;;;;;;88
8;Sympathie vur den Duvel;30;28;28;29;30;;;;;;;;145
9;Bruce Horny;30;28;28;30;30;;;;;;;;146
10;Goodkoop Zat in 't Halve Maantje;25;24;26;28;29;;;;;;;;132
11;Scary Monsters;30;28;29;29;30;;;;;;;;146
12;Hoeverock Animatieteam;21;16;19;24;25;;;;;;;;105
13;Cevisten;24;22;19;26;20;;;;;;;;111
14;All Play And No Work;25;15;18;22;21;;;;;;;;101
15;Jan, Piet, Joris en Sam Gooris;30;29;28;29;30;;;;;;;;146
16;No ID;30;25;26;29;30;;;;;;;;140
17;De Echte Ware Forummers;28;23;21;24;21;;;;;;;;117
18;De Plankierkaarters;30;19;24;27;24;;;;;;;;124
19;De Stimpy's;29;25;26;26;25;;;;;;;;131
20;Supercalifragilisticexpialidocious;12;7;9;18;18;;;;;;;;64
21;De Piekniekskes;21;13;15;13;21;;;;;;;;83
22;Prinsen Der Duisternis;24;20;18;23;24;;;;;;;;109
23;Green Onions;28;21;20;27;24;;;;;;;;120
24;De Vleesgeworden Genialiteit en Aanverwante;29;24;26;27;25;;;;;;;;131
25;Koevoet is beter dan Boullie;27;26;25;25;25;;;;;;;;128
26;Popingers;30;19;20;27;27;;;;;;;;123
27;De Klinke;26;21;12;27;25;;;;;;;;111
28;Flying Foxes;23;16;23;21;27;;;;;;;;110
29;WMYA;27;20;22;27;24;;;;;;;;120
30;Hai, Rylegs;29;27;21;28;26;;;;;;;;131
31;Kas & The Holly's;30;28;28;29;30;;;;;;;;145
32;Los Locos;27;28;26;29;28;;;;;;;;138
33;The Return of the Dolly Dots Dot Com;26;8;19;21;22;;;;;;;;96
34;Zazawie;27;19;19;28;25;;;;;;;;118
35;Die Schmetterlinge;20;18;23;26;26;;;;;;;;113
36;Spek en Bonen;24;18;18;21;25;;;;;;;;106
37;Zootje Ongeregeld;28;22;20;27;27;;;;;;;;124
38;De Druuge Kelen 2.0;26;18;14;17;16;;;;;;;;91
39;Starbuk & Apollo;29;27;28;29;25;;;;;;;;138
40;De Daisybelzen;28;27;22;27;28;;;;;;;;132
41;De Ratata's;20;11;11;19;18;;;;;;;;79
42;De Bokothorianen;18;11;10;23;15;;;;;;;;77
43;De B-Sides;25;25;22;24;28;;;;;;;;124
44;Nuns & Moses;27;19;19;27;28;;;;;;;;120
45;De Lawaaimakers;19;9;4;10;11;;;;;;;;53
46;Abeelken;28;20;26;25;28;;;;;;;;127
47;Lady Lucidity's DreaM Team;24;14;17;23;21;;;;;;;;99
48;Kirustjo;22;8;10;9;8;;;;;;;;57
49;De Peetieloeties;28;19;13;14;16;;;;;;;;90
50;Vlassenbroek 2000;29;29;28;28;30;;;;;;;;144
51;Vier Schellen Gezouten Geringeld;20;15;17;21;26;;;;;;;;99
52;De Stijlpaardroggen;20;17;11;19;22;;;;;;;;89
53;De Hertenkoppen;30;27;25;26;27;;;;;;;;135
54;Tequila Overdrive;30;27;25;29;28;;;;;;;;139
55;Duur Nuchter in 't Volle Zonnetje;25;15;21;20;24;;;;;;;;105
56;Team Othy;19;15;17;19;22;;;;;;;;92
