NR;PLOEG;TYPE;Reeks 1;Reeks 2;Reeks 3;Reeks 4;Reeks 5;Reeks 6;Reeks 7;Reeks 8;Reeks 9;Reeks 10;Reeks 11;Reeks 12;TOT.
;MAXIMUM;;30;30;40;30;45;30;30;30;30;30;30;30;175
1;De bevroren aperitiefhapjes;0;18;19;34;17;27;;;;;;;;115
2;De Stijlpaardroggen;0;17;13;22;13;14;;;;;;;;79
3;Het Negende;0;18;16;32;22;19;;;;;;;;107
4;Lou Reed in velo;1;25;28;30;27;28;;;;;;;;138
5;Los Locos;1;27;27;36;24;39;;;;;;;;153
6;Nog Locos;1;26;23;35;26;32;;;;;;;;142
7;Kriek Max;0;23;27;34;27;33;;;;;;;;144
8;Greatest Tits;1;29;30;39;29;42;;;;;;;;169
9;Directieteam;0;24;24;34;27;34;;;;;;;;143
10;The 4 sLEEpless horsemen of the apocalypse;1;29;28;38;29;41;;;;;;;;165
11;The Pale Riders From Philadelphia;1;29;27;40;28;39;;;;;;;;163
12;Paris Hilton Lookalikes;1;29;24;40;28;42;;;;;;;;163
13;In Extremis;0;13;16;28;14;23;;;;;;;;94
14;Starbuk & Apollo;1;27;26;38;22;39;;;;;;;;152
15;Formerly known as RJFC;0;22;20;29;23;27;;;;;;;;121
16;Die Schmetterlinge;0;17;17;26;23;24;;;;;;;;107
17;De buis van Eustachius;1;29;30;37;30;39;;;;;;;;165
18;Country Trash;0;13;16;26;13;17;;;;;;;;85
19;Garnizoen!;0;25;23;38;29;39;;;;;;;;154
20;De vierkante meter;0;17;14;26;20;26;;;;;;;;103
21;Goedkoop Zat In 't Halve Maantje;1;24;25;33;29;31;;;;;;;;142
22;Charlotte Mocht Nog Eens Mee;0;27;21;33;27;27;;;;;;;;135
23;Jan, Piet, Joris en Sam Gooris;1;26;27;40;28;41;;;;;;;;162
24;Team Kimchiiii;0;16;16;28;17;19;;;;;;;;96
25;Zottegem Blues;0;18;22;33;20;32;;;;;;;;125
26;Conner Niopkomen;0;19;16;23;18;22;;;;;;;;98
27;De Floyds;0;15;17;25;18;15;;;;;;;;90
28;Scary Monsters;1;27;30;40;27;40;;;;;;;;164
29;Zazawie;0;23;22;35;22;32;;;;;;;;134
30;Team Smartacus;0;13;11;28;14;16;;;;;;;;82
31;Barbara Spreidstand;0;17;16;28;21;25;;;;;;;;107
32;Popingers;1;26;24;33;24;39;;;;;;;;146
33;Ramenlikkers;0;15;13;27;19;16;;;;;;;;90
34;Whores with no name;0;19;20;26;21;29;;;;;;;;115
35;No use for a name;0;18;15;30;22;22;;;;;;;;107
36;Judas Piest;0;12;12;24;20;12;;;;;;;;80
37;Team Dink;0;20;22;32;20;31;;;;;;;;125
38;Binnen 40 jaar komen we terug om te winnen;0;18;17;26;17;20;;;;;;;;98
39;Rode BMW staat fout geparkeerd;0;13;10;22;21;24;;;;;;;;90
40;Gilly De Wieter;0;27;18;33;25;36;;;;;;;;139
41;1912 Titanic Swim Team;0;18;13;29;14;21;;;;;;;;95
42;Green Onions;1;27;22;27;25;18;;;;;;;;119
43;Michiels Crew;0;14;18;28;29;25;;;;;;;;114
44;Rock Monsieur;1;28;25;37;28;38;;;;;;;;156
45;K4;0;18;21;29;27;18;;;;;;;;113
46;Testedoene;1;26;22;27;23;31;;;;;;;;129
47;Pluttbugs;0;20;22;26;21;24;;;;;;;;113
48;Cevisten;0;14;17;28;15;22;;;;;;;;96
49;Tequila Overdrive;1;28;28;37;28;39;;;;;;;;160
50;Flying Foxes;0;20;16;25;20;22;;;;;;;;103
51;Op hoop van zegen;0;19;21;28;25;22;;;;;;;;115
52;De Vierde Man;0;18;18;27;26;20;;;;;;;;109
53;Never Gonna Quiz You Up;0;16;16;29;21;13;;;;;;;;95
54;De Sexpistolets;0;13;10;26;27;16;;;;;;;;92
55;No ID;1;29;23;38;24;30;;;;;;;;144
56;METEA;0;21;19;31;20;31;;;;;;;;122
57;Quizzers In Crime;0;25;23;30;26;31;;;;;;;;135
58;Pol Van Mietsies Giete;0;19;20;24;26;26;;;;;;;;115
59;King Quizard and the Quizard Quizard;0;22;19;21;27;20;;;;;;;;109
60;De plankierkaarters;0;21;23;34;23;32;;;;;;;;133
61;The Silver Foxes;0;18;11;21;10;8;;;;;;;;68
62;The Oldies;0;9;8;20;14;9;;;;;;;;60
63;The Pimped Shrimps;0;23;18;33;21;29;;;;;;;;124
64;Fed With the Papspoon;1;28;29;39;28;37;;;;;;;;161
65;Tennessee Quiskey;0;15;18;25;18;15;;;;;;;;91
66;Schnippel Schnappel;0;11;18;29;21;11;;;;;;;;90
67;Qwisted;0;18;11;28;17;17;;;;;;;;91
